Tarih;GiseSatis
01-05-2022;14.966
05-05-2022;14.929
06-05-2022;15.042
07-05-2022;45.122
08-05-2022;45.122
09-05-2022;15.156
10-05-2022;15.364
11-05-2022;15.466
12-05-2022;15.475
13-05-2022;15.63
14-05-2022;15.587
15-05-2022;15.587
16-05-2022;15.637
17-05-2022;15.956
18-05-2022;44.942
19-05-2022;15.994
20-05-2022;15.974
21-05-2022;15.928
22-05-2022;15.928
23-05-2022;15.961
24-05-2022;16.197
25-05-2022;16.403
26-05-2022;16.461
27-05-2022;16.345
28-05-2022;16.32
29-05-2022;16.32
30-05-2022;16.41
31-05-2022;16.471
01-06-2022;16.446
02-06-2022;16.503
03-06-2022;16.492
04-06-2022;16.53
05-06-2022;16.53
06-06-2022;16.618
07-06-2022;16.87
08-06-2022;17.288
09-06-2022;17.166
10-06-2022;17.198
11-06-2022;17.075
12-06-2022;17.075
13-06-2022;17.288
14-06-2022;17.327
15-06-2022;17.288
16-06-2022;17.356
17-06-2022;17.373
18-06-2022;17.36
19-06-2022;17.36
20-06-2022;17.337
21-06-2022;17.379
22-06-2022;17.409
23-06-2022;17.398
24-06-2022;16.919
25-06-2022;16.971
26-06-2022;16.971
27-06-2022;16.731
28-06-2022;16.814
29-06-2022;16.797
30-06-2022;16.73
01-07-2022;16.824
02-07-2022;16.81
03-07-2022;16.81
04-07-2022;16.858
05-07-2022;17.111
06-07-2022;17.394
07-07-2022;17.346
08-07-2022;17.412
09-07-2022;17.428
13-07-2022;17.625
14-07-2022;17.672
15-07-2022;17.533
16-07-2022;17.555
17-07-2022;17.555
18-07-2022;17.544
19-07-2022;17.622
20-07-2022;17.784
21-07-2022;17.971
22-07-2022;17.882
23-07-2022;17.875
24-07-2022;17.875
25-07-2022;17.89
26-07-2022;17.982
27-07-2022;18.064
28-07-2022;17.994
29-07-2022;17.964
30-07-2022;17.95
31-07-2022;17.95
01-08-2022;17.955
02-08-2022;18.009
03-08-2022;45.003
04-08-2022;18.026
05-08-2022;18.037
06-08-2022;44.975
07-08-2022;44.975
08-08-2022;18.012
09-08-2022;17.997
10-08-2022;17.999
11-08-2022;18.012
12-08-2022;18.017
13-08-2022;18.017
14-08-2022;18.017
15-08-2022;18.037
16-08-2022;18.092
17-08-2022;18.116
18-08-2022;18.213
19-08-2022;18.242
20-08-2022;18.251
21-08-2022;18.251
22-08-2022;18.268
23-08-2022;18.253
24-08-2022;18.252
25-08-2022;18.251
26-08-2022;18.251
27-08-2022;18.25
28-08-2022;18.25
29-08-2022;18.24
30-08-2022;18.257
31-08-2022;18.236
01-09-2022;18.327
02-09-2022;18.316
03-09-2022;18.315
04-09-2022;18.315
05-09-2022;18.296
06-09-2022;18.331
07-09-2022;18.402
08-09-2022;18.378
09-09-2022;18.347
10-09-2022;18.33
11-09-2022;18.33
12-09-2022;18.311
13-09-2022;18.423
14-09-2022;18.408
15-09-2022;18.423
16-09-2022;18.501
17-09-2022;18.52
18-09-2022;18.52
19-09-2022;18.505
20-09-2022;18.457
21-09-2022;18.498
22-09-2022;18.469
23-09-2022;18.615
24-09-2022;18.615
25-09-2022;18.615
26-09-2022;18.603
27-09-2022;18.573
28-09-2022;18.691
29-09-2022;45.095
30-09-2022;18.642
01-10-2022;18.621
02-10-2022;18.621
03-10-2022;18.628
04-10-2022;18.64
05-10-2022;18.68
06-10-2022;18.687
07-10-2022;18.692
08-10-2022;18.682
09-10-2022;18.682
10-10-2022;18.662
11-10-2022;18.687
12-10-2022;18.698
13-10-2022;18.713
14-10-2022;18.692
15-10-2022;18.695
16-10-2022;18.695
17-10-2022;18.699
18-10-2022;18.714
19-10-2022;18.755
20-10-2022;18.77
21-10-2022;18.754
22-10-2022;18.728
23-10-2022;18.728
24-10-2022;18.714
25-10-2022;18.672
26-10-2022;18.651
27-10-2022;18.651
28-10-2022;18.667
29-10-2022;18.667
31-10-2022;18.685
01-11-2022;45.125
02-11-2022;18.765
03-11-2022;18.745
04-11-2022;18.665
05-11-2022;18.645
06-11-2022;18.645
07-11-2022;18.598
08-11-2022;18.62
09-11-2022;18.639
10-11-2022;18.557
11-11-2022;18.632
12-11-2022;18.616
13-11-2022;18.616
14-11-2022;18.707
15-11-2022;18.737
16-11-2022;18.728
17-11-2022;18.737
18-11-2022;18.748
19-11-2022;18.751
20-11-2022;18.751
21-11-2022;18.753
22-11-2022;18.732
23-11-2022;18.736
24-11-2022;18.715
